dictionary,"এক ধরণের বই, যাতে একটি নির্দিষ্ট ভাষার শব্দসমূহ বর্ণানুক্রমে তালিকাভূক্ত থাকে এবং শব্দসমূহের অর্থ, উচ্চারণ, ব্যূৎপত্তি, ব্যবহার ইত্যাদি বর্ণিত ও ব্যাখ্যায়িত থাকে।"
abb,পড়েন
alps,"সুইজারল্যাণ্ডের গিরিশ্রেণীবিশেষ, আল্প্স"
americanism,মার্কিনিপনা
anglophilia,ইংরেজপ্রীতি
aristotelian,"অ্যারিস্টটলের শিষ্য, গ্রীক পণ্ডিত অ্যারিস্টটল - সংক্রান্ত"
australian,"অস্ট্রেলিয়াবাসী, অস্ট্রেলিয়া - মহাদেশীয়"
as sure as fate,"অবশ্যম্ভাবী, সুনিশ্চিত"
anti semite,"ইহুদী বিরোধী, যে কোন যুক্তিসঙ্গত কারন ছাড়াই ইহুদীদের ঘৃনা করে"
a,ইংরেজী বর্ণমালার প্রথম বর্ণ
aback,পিছনদিকে
abaction,"গোগ্রহ, গোরু - চুরি"
abacus,স্তম্ভশীর্ষফলক
abaft,জাহাজের পিছনের দিকে
abandon,"পরিত্যাগ করা, বাধাবন্ধহীন উচ্ছ্বাস"
abandon oneself to,"নিজেকে সঁপে দেওয়া, গা ঢেলে দেওয়া"
abandoned,১. নষ্টচরিত্র
abandonment,"বিসর্জন, ত্যাগ, পরিক্ষেপ, বর্জন, পরিবর্জন, উদ্বাসন, ইস্তফা, ইস্তাফা, বেপরোয়া লোক, হাল ছাড়িয়া - দেত্তয়া ভাব"
abase,"হীন করা, হেয় করা"
abased,নিচের দিকে - নামানো
abasement,নীচতা।
abash,"লজ্জা দেওয়া, অপ্রস্তুতে ফেলা"
abashed,"লজ্জিত, হতবুদ্ধি, বিহ্বল, নতমুখ, সলজ্জ, বিমূঢ়, ত্রপিত, বিভ্রান্ত, কুণ্ঠিত, আত্মহারা"
abashment,"বিহ্বলতা, বিভ্রান্তি, বিমূঢ়তা, হতবুদ্ধিতা"
